id,genre
862,Animation
21032,Animation
10530,Animation
15789,Animation
43475,Animation
22586,Animation
8587,Animation
18242,Animation
9479,Animation
15139,Animation
812,Animation
408,Animation
10020,Animation
10895,Animation
11827,Animation
10112,Animation
19042,Animation
10539,Animation
2300,Animation
12233,Animation
40651,Animation
9323,Animation
532,Animation
10545,Animation
18975,Animation
19004,Animation
11224,Animation
81310,Animation
15947,Animation
9078,Animation
29682,Animation
11360,Animation
11114,Animation
12335,Animation
12092,Animation
10948,Animation
11238,Animation
531,Animation
18919,Animation
530,Animation
149,Animation
756,Animation
3179,Animation
24662,Animation
11970,Animation
9444,Animation
40688,Animation
18937,Animation
10674,Animation
3170,Animation
10957,Animation
9994,Animation
9325,Animation
10340,Animation
10144,Animation
12230,Animation
10693,Animation
11135,Animation
11319,Animation
15969,Animation
10882,Animation
53565,Animation
123,Animation
11497,Animation
15171,Animation
11837,Animation
11704,Animation
4978,Animation
10380,Animation
51942,Animation
8916,Animation
14444,Animation
9487,Animation
9837,Animation
16306,Animation
47288,Animation
16508,Animation
37135,Animation
9473,Animation
10386,Animation
22611,Animation
10494,Animation
12105,Animation
28032,Animation
42518,Animation
856,Animation
128,Animation
11886,Animation
10228,Animation
863,Animation
10137,Animation
49948,Animation
14919,Animation
15655,Animation
18890,Animation
54825,Animation
10501,Animation
22501,Animation
14906,Animation
10567,Animation
22500,Animation
29204,Animation
7450,Animation
7443,Animation
17711,Animation
46929,Animation
20343,Animation
13757,Animation
12599,Animation
16110,Animation
20455,Animation
13465,Animation
16340,Animation
1857,Animation
11688,Animation
37949,Animation
19933,Animation
19405,Animation
23685,Animation
10991,Animation
808,Animation
10865,Animation
2114,Animation
36107,Animation
58904,Animation
12144,Animation
12610,Animation
16767,Animation
9081,Animation
585,Animation
12589,Animation
18939,Animation
12593,Animation
14683,Animation
27273,Animation
15035,Animation
9606,Animation
16690,Animation
15999,Animation
13225,Animation
35614,Animation
425,Animation
9023,Animation
11544,Animation
17710,Animation
59387,Animation
10996,Animation
11243,Animation
19975,Animation
129,Animation
15173,Animation
19953,Animation
12600,Animation
12477,Animation
41394,Animation
13376,Animation
9016,Animation
14317,Animation
8392,Animation
16225,Animation
10150,Animation
14873,Animation
13691,Animation
11299,Animation
10515,Animation
33875,Animation
12,Animation
32328,Animation
20694,Animation
14411,Animation
33320,Animation
9662,Animation
14282,Animation
10009,Animation
10715,Animation
36068,Animation
81,Animation
20043,Animation
24034,Animation
14239,Animation
22561,Animation
13700,Animation
19016,Animation
31112,Animation
28476,Animation
14258,Animation
36751,Animation
823,Animation
21375,Animation
15371,Animation
809,Animation
8920,Animation
33441,Animation
21793,Animation
11572,Animation
21386,Animation
13398,Animation
35780,Animation
25361,Animation
23305,Animation
11052,Animation
10555,Animation
3989,Animation
36616,Animation
9806,Animation
5255,Animation
11836,Animation
13187,Animation
11047,Animation
9929,Animation
9385,Animation
1362,Animation
47542,Animation
14087,Animation
21356,Animation
8868,Animation
62429,Animation
9318,Animation
17421,Animation
18917,Animation
16859,Animation
14571,Animation
15080,Animation
11621,Animation
8983,Animation
18837,Animation
37797,Animation
12613,Animation
9732,Animation
15805,Animation
17074,Animation
18491,Animation
21348,Animation
54491,Animation
15653,Animation
16234,Animation
19738,Animation
44756,Animation
919,Animation
11430,Animation
55931,Animation
12140,Animation
15370,Animation
15990,Animation
22537,Animation
11049,Animation
3509,Animation
16220,Animation
11633,Animation
4935,Animation
8953,Animation
13682,Animation
27042,Animation
9928,Animation
33539,Animation
16198,Animation
15283,Animation
42994,Animation
21131,Animation
49565,Animation
32085,Animation
30863,Animation
9463,Animation
10837,Animation
953,Animation
11848,Animation
21290,Animation
14175,Animation
65215,Animation
3933,Animation
647,Animation
533,Animation
31718,Animation
19354,Animation
9982,Animation
13925,Animation
37910,Animation
10982,Animation
9975,Animation
14609,Animation
950,Animation
9389,Animation
39045,Animation
9904,Animation
7518,Animation
920,Animation
59892,Animation
9513,Animation
27716,Animation
9297,Animation
9906,Animation
9907,Animation
21712,Animation
15374,Animation
15213,Animation
15997,Animation
7484,Animation
43071,Animation
11619,Animation
21057,Animation
9836,Animation
12924,Animation
30060,Animation
5393,Animation
9992,Animation
2062,Animation
23544,Animation
13517,Animation
48215,Animation
